,City,Lat,Lng,Max Temp,Humidty,Cloudiness,Wind Speed,Country,Date
0,eenhana,-17.47,16.33,51.8,40,0,1.12,NA,1594684006
1,coahuayana,18.73,-103.68,82.4,69,40,11.41,MX,1594683784
2,tuktoyaktuk,69.45,-133.04,62.6,63,40,6.93,CA,1594684007
3,port elizabeth,-33.92,25.57,53.51,51,50,20.33,ZA,1594684007
4,cutervo,-6.38,-78.82,50.74,100,51,2.8,PE,1594684007
5,port hawkesbury,45.62,-61.35,78.01,78,75,4.7,CA,1594684007
6,busselton,-33.65,115.33,50.0,78,51,12.53,AU,1594684007
7,zhangjiakou,40.81,114.88,70.23,64,62,2.91,CN,1594684008
8,port alfred,-33.59,26.89,55.72,45,26,26.15,ZA,1594684008
9,plettenberg bay,-34.05,23.37,51.87,62,51,21.14,ZA,1594684008
10,cabo san lucas,22.89,-109.91,93.2,58,5,11.41,MX,1594683812
11,grand forks,47.93,-97.03,78.8,78,75,11.41,US,1594684008
12,nurlat,54.43,50.81,73.36,66,1,11.56,RU,1594684008
13,atuona,-9.8,-139.03,79.18,78,25,19.01,PF,1594684009
14,puerto ayora,-0.74,-90.35,69.01,91,47,8.68,EC,1594683975
15,biak,-0.91,122.88,78.67,81,92,4.65,ID,1594684009
16,mataura,-46.19,168.86,39.0,83,91,3.0,NZ,1594684009
17,zhigansk,66.77,123.37,66.4,65,1,0.47,RU,1594683738
18,provideniya,64.38,-173.3,51.8,71,94,13.42,RU,1594684010
19,kapaa,22.08,-159.32,82.99,78,75,13.87,US,1594684010
20,skjervoy,70.03,20.97,53.89,71,41,12.3,NO,1594684010
21,cape town,-33.93,18.42,52.0,76,75,8.05,ZA,1594683733
22,bredasdorp,-34.53,20.04,46.4,87,70,13.87,ZA,1594684010
23,saldanha,-33.01,17.94,50.0,81,68,10.29,ZA,1594683997
24,north bay shore,40.74,-73.26,86.0,61,40,9.17,US,1594683921
25,ushuaia,-54.8,-68.3,33.8,86,40,18.34,AR,1594684011
26,tokat,40.42,36.58,49.73,100,0,3.09,TR,1594683977
27,gimli,50.63,-96.99,73.0,99,84,5.46,CA,1594683889
28,carnarvon,-24.87,113.63,60.8,100,40,6.93,AU,1594684011
29,robe,-37.18,139.75,48.07,82,0,9.51,AU,1594684012
30,banda aceh,5.56,95.32,78.48,81,96,3.71,ID,1594684012
31,bluff,-46.6,168.33,39.0,83,90,3.0,NZ,1594684012
32,bisira,8.52,-81.71,60.53,100,98,4.38,PA,1594684012
33,dikson,73.51,80.55,39.34,97,100,14.61,RU,1594684012
34,bambous virieux,-20.34,57.76,71.01,88,40,5.82,MU,1594684013
35,avarua,-21.21,-159.78,73.4,60,90,9.17,CK,1594684013
36,new norfolk,-42.78,147.06,42.01,92,7,1.77,AU,1594683984
37,kruisfontein,-34.0,24.73,47.41,60,62,14.07,ZA,1594684013
38,kavieng,-2.57,150.8,83.14,74,100,9.17,PG,1594684013
39,ponta do sol,32.67,-17.1,71.6,64,20,11.41,PT,1594684013
40,vitim,59.45,112.56,72.27,55,32,4.99,RU,1594684014
41,albany,42.6,-73.97,81.0,56,8,1.99,US,1594684014
42,kodiak,57.79,-152.41,52.68,94,98,13.58,US,1594684014
43,trelew,-43.25,-65.31,37.26,74,0,12.68,AR,1594684014
44,hofn,64.25,-15.21,50.68,81,95,4.21,IS,1594684014
45,sao jose da coroa grande,-8.9,-35.15,74.66,82,20,4.54,BR,1594684014
46,socorro,31.65,-106.3,109.4,9,20,9.17,US,1594684015
47,margate,51.38,1.39,68.0,66,100,6.89,GB,1594684015
48,sainte-maxime,43.3,6.63,66.99,77,0,3.65,FR,1594684015
49,saint-philippe,-21.36,55.77,68.0,68,20,8.05,RE,1594684015
50,sloboda,51.14,40.3,66.0,94,98,8.28,RU,1594684015
51,jining,35.41,116.58,80.01,43,93,2.62,CN,1594683973
52,hobart,-42.88,147.33,44.6,81,75,6.93,AU,1594684016
53,tomatlan,19.93,-105.25,86.31,63,18,6.49,MX,1594684016
54,sola,-13.88,167.55,80.33,79,70,20.69,VU,1594683675
55,pirgos,35.12,25.72,78.01,61,1,17.0,GR,1594684016
56,vieste,41.88,16.18,64.4,55,5,9.17,IT,1594684016
57,iqaluit,63.75,-68.51,64.4,34,20,14.99,CA,1594683971
58,kizukuri,40.81,140.39,69.01,77,75,4.7,JP,1594684017
59,khatanga,71.97,102.5,68.54,49,26,13.13,RU,1594684017
60,sao filipe,14.9,-24.5,78.24,84,55,4.07,CV,1594684017
61,aksu,41.12,80.26,75.45,42,97,4.54,CN,1594684112
62,talnakh,69.49,88.4,53.6,93,75,2.24,RU,1594684017
63,kloulklubed,7.04,134.26,78.8,88,90,16.11,PW,1594684112
64,fort frances,48.6,-93.4,78.8,47,40,19.46,CA,1594684018
65,upernavik,72.79,-56.15,40.82,88,70,13.87,GL,1594683980
66,tagusao,9.19,117.81,81.36,79,99,6.04,PH,1594684018
67,shchelkun,56.3,60.95,59.0,93,0,2.24,RU,1594684018
68,hermanus,-34.42,19.23,50.0,77,99,7.0,ZA,1594684018
69,vaini,-21.2,-175.2,75.2,73,40,10.29,TO,1594683981
70,port lincoln,-34.73,135.87,54.68,78,0,9.69,AU,1594684113
71,barrow,71.29,-156.79,39.2,80,90,11.41,US,1594684019
72,peravurani,10.3,79.18,82.6,75,96,3.31,IN,1594684019
73,pankrushikha,53.83,80.34,59.07,91,31,5.17,RU,1594684020
74,rio gallegos,-51.62,-69.22,33.8,95,75,11.41,AR,1594684020
75,nabire,-3.37,135.48,83.32,68,36,1.61,ID,1594684020
76,requena,39.49,-1.1,66.99,78,24,4.47,ES,1594684020
77,portland,45.52,-122.68,81.0,29,20,9.17,US,1594683829
78,chokurdakh,70.63,147.92,65.97,37,39,14.47,RU,1594684020
79,constitucion,-35.33,-72.42,53.15,79,41,5.91,CL,1594684020
80,yar-sale,66.83,70.83,51.13,72,88,15.01,RU,1594684021
81,yellowknife,62.46,-114.35,59.0,100,90,16.11,CA,1594683982
82,esperance,-33.87,121.9,57.2,26,75,20.8,AU,1594684021
83,namibe,-15.2,12.15,61.47,82,0,1.72,AO,1594684005
84,quelimane,-17.88,36.89,64.4,82,0,2.51,MZ,1594684021
85,tautira,-17.73,-149.15,84.2,66,90,13.87,PF,1594684022
86,bengkulu,-3.8,102.27,75.74,86,97,3.94,ID,1594684022
87,qaanaaq,77.48,-69.36,44.62,65,0,7.67,GL,1594684022
88,moose factory,51.26,-80.61,62.6,82,1,9.17,CA,1594683617
89,bathsheba,13.22,-59.52,82.4,74,40,14.99,BB,1594684022
90,cherskiy,68.75,161.3,64.71,54,19,2.57,RU,1594683974
91,hastings,50.86,0.57,62.01,77,100,3.0,GB,1594683629
92,havelock,34.88,-76.9,73.99,83,75,4.7,US,1594684023
93,ahipara,-35.17,173.17,61.52,74,88,5.95,NZ,1594684023
94,caravelas,-17.71,-39.25,71.37,89,13,5.5,BR,1594684117
95,hilo,19.73,-155.09,84.2,58,1,8.05,US,1594683793
96,mitchell,43.71,-98.03,87.8,55,40,9.17,US,1594683664
97,rikitea,-23.12,-134.97,73.17,85,53,12.1,PF,1594684024
98,atherton,53.52,-2.49,60.01,87,93,1.99,GB,1594684024
99,saskylakh,71.92,114.08,63.59,63,86,12.5,RU,1594684024
100,taltal,-25.4,-70.48,55.04,76,22,1.5,CL,1594684024
101,hithadhoo,-0.6,73.08,84.51,75,83,8.37,MV,1594684025
102,morondava,-20.28,44.28,66.63,76,0,9.78,MG,1594684025
103,husavik,66.04,-17.34,51.8,87,90,8.05,IS,1594684025
104,bethel,41.37,-73.41,82.99,42,1,5.82,US,1594684025
105,longyearbyen,78.22,15.64,46.4,81,75,3.36,SJ,1594684025
106,nefteyugansk,61.1,72.6,57.2,87,1,8.95,RU,1594684026
107,phrae,18.08,100.0,75.2,94,40,3.36,TH,1594684026
108,kudahuvadhoo,2.67,72.89,84.11,70,53,7.31,MV,1594684026
109,copiapo,-27.37,-70.33,53.6,81,0,5.82,CL,1594683811
110,lavrentiya,65.58,-171.0,48.06,71,85,6.49,RU,1594684023
111,sao joao da barra,-21.64,-41.05,72.27,79,5,7.11,BR,1594684009
112,jamestown,42.1,-79.24,71.01,64,1,10.29,US,1594684027
113,minab,27.15,57.08,91.4,75,40,9.17,IR,1594684027
114,castro,-24.79,-50.01,62.42,86,20,5.35,BR,1594684027
115,kidal,18.44,1.41,92.79,18,60,7.2,ML,1594684027
116,grand island,40.92,-98.34,91.4,46,1,12.75,US,1594684027
117,coquimbo,-29.95,-71.34,51.8,87,33,3.36,CL,1594684027
118,mamakan,57.82,114.0,75.85,66,42,1.25,RU,1594684028
119,micheweni,-4.97,39.83,76.12,80,20,11.36,TZ,1594684028
120,praia,14.92,-23.51,80.6,74,20,3.36,CV,1594684028
121,uglekamensk,43.22,133.23,74.21,64,5,2.95,RU,1594684028
122,fare,-16.7,-151.02,79.16,80,88,11.03,PF,1594684028
123,nizhniy mamon,50.19,40.51,66.6,95,94,12.53,RU,1594684028
124,byron bay,-28.65,153.62,55.99,58,6,18.34,AU,1594684029
125,khanpur,28.65,70.66,93.16,49,9,15.77,PK,1594683769
126,butaritari,3.07,172.79,81.03,74,85,1.19,KI,1594684029
127,tiksi,71.69,128.87,41.56,96,99,9.37,RU,1594684029
128,melnikovo,56.56,84.08,62.01,91,0,3.13,RU,1594684029
129,cotoca,-17.82,-63.05,77.0,88,75,3.36,BO,1594684029
130,vardo,70.37,31.11,44.6,93,75,13.87,NO,1594684030
131,kurumkan,54.3,110.3,70.41,71,29,1.59,RU,1594684030
132,tiarei,-17.53,-149.33,84.2,66,90,13.87,PF,1594684030
133,manavalakurichi,8.13,77.3,80.6,83,40,5.82,IN,1594684030
134,qaqortoq,60.72,-46.03,55.4,76,100,6.93,GL,1594684030
135,luderitz,-26.65,15.16,55.4,71,0,16.11,NA,1594684030
136,baoro,5.67,15.97,67.55,94,100,3.31,CF,1594684031
137,dunedin,-45.87,170.5,46.99,67,49,1.01,NZ,1594683995
138,zapolyarnyy,69.42,30.81,48.2,87,45,8.05,RU,1594684031
139,nanortalik,60.14,-45.24,44.64,93,100,2.89,GL,1594684031
140,port macquarie,-31.43,152.92,53.01,88,100,5.99,AU,1594683672
141,alofi,-19.06,-169.92,71.74,75,76,25.55,NU,1594683777
142,punta arenas,-53.15,-70.92,35.6,80,90,8.05,CL,1594683984
143,roald,62.58,6.13,55.4,87,100,12.75,NO,1594684013
144,high prairie,55.43,-116.49,59.72,79,90,17.29,CA,1594684032
145,kaitangata,-46.28,169.85,46.0,76,77,1.99,NZ,1594684032
146,tuatapere,-46.13,167.68,39.0,83,43,3.0,NZ,1594684032
147,nouadhibou,20.93,-17.03,69.8,88,0,19.46,MR,1594684032
148,athabasca,54.72,-113.29,63.07,69,100,14.5,CA,1594683928
149,lompoc,34.64,-120.46,66.99,72,4,16.11,US,1594684043
150,aklavik,68.22,-135.01,66.2,48,40,2.24,CA,1594684033
151,carutapera,-1.2,-46.02,74.91,93,34,5.91,BR,1594684033
152,zonguldak,41.25,31.83,61.95,97,85,3.2,TR,1594683751
153,changli,39.7,119.15,78.57,59,4,6.15,CN,1594684033
